,datetime,cloudliness
851,2022-06-09,0.899
852,2022-06-11,0.93
853,2022-06-14,0.514
854,2022-06-16,0.001
855,2022-06-19,1.0
856,2022-06-21,1.0
857,2022-06-24,1.0
858,2022-06-26,1.0
859,2022-06-29,0.956
860,2022-07-01,0.975
861,2022-07-04,1.0
862,2022-07-06,1.0
863,2022-07-09,1.0
864,2022-07-11,1.0
865,2022-07-14,1.0
866,2022-07-16,0.746
867,2022-07-19,0.0
868,2022-07-21,1.0
869,2022-07-24,0.0
870,2022-07-26,1.0
871,2022-07-29,0.0
872,2022-07-31,1.0
873,2022-08-03,0.0
874,2022-08-05,1.0
875,2022-08-08,1.0
876,2022-08-10,0.0
877,2022-08-13,0.0
878,2022-08-15,1.0
879,2022-08-18,0.885
880,2022-08-20,0.082
881,2022-08-23,0.199
882,2022-08-25,0.323
883,2022-08-28,0.754
884,2022-08-30,1.0
885,2022-09-02,0.009
886,2022-09-04,1.0
887,2022-09-07,0.279
888,2022-09-09,0.998
889,2022-09-12,0.0
890,2022-09-14,1.0
891,2022-09-19,1.0
892,2022-09-22,0.0
893,2022-09-24,1.0
894,2022-09-27,1.0
895,2022-09-29,0.09
896,2022-10-02,1.0
897,2022-10-04,0.132
898,2022-10-07,0.0
899,2022-10-09,0.0
900,2022-10-12,0.0
901,2022-10-14,1.0
902,2022-10-17,1.0
903,2022-10-19,1.0
904,2022-10-22,0.98
905,2022-10-24,1.0
906,2022-10-27,1.0
907,2022-10-29,1.0
908,2022-11-01,0.002
909,2022-11-03,1.0
910,2022-11-06,1.0
911,2022-11-08,1.0
912,2022-11-11,1.0
913,2022-11-13,0.0
914,2022-11-16,0.007
915,2022-11-18,1.0
916,2022-11-21,1.0
917,2022-11-23,0.004
918,2022-11-26,1.0
919,2022-11-28,1.0
920,2022-12-01,0.0
921,2022-12-03,1.0
922,2022-12-06,0.992
923,2022-12-08,1.0
924,2022-12-11,1.0
925,2022-12-13,1.0
926,2022-12-16,0.983
927,2022-12-18,1.0
928,2022-12-21,1.0
929,2022-12-23,1.0
930,2022-12-26,1.0
931,2022-12-28,1.0
932,2022-12-31,1.0
933,2023-01-02,1.0
934,2023-01-05,1.0
935,2023-01-07,1.0
936,2023-01-10,1.0
937,2023-01-12,1.0
938,2023-01-15,0.993
939,2023-01-17,1.0
940,2023-01-20,1.0
941,2023-01-22,1.0
942,2023-01-25,1.0
943,2023-01-27,1.0
944,2023-01-30,1.0
945,2023-02-01,1.0
946,2023-02-04,0.985
947,2023-02-06,1.0
948,2023-02-09,1.0
949,2023-02-11,1.0
950,2023-02-14,0.0
951,2023-02-16,1.0
952,2023-02-19,1.0
953,2023-02-21,1.0
954,2023-02-24,1.0
955,2023-02-26,0.166
956,2023-03-01,0.0
957,2023-03-03,0.975
958,2023-03-06,1.0
959,2023-03-08,1.0
960,2023-03-11,1.0
961,2023-03-13,1.0
962,2023-03-16,1.0
963,2023-03-18,1.0
964,2023-03-21,1.0
965,2023-03-23,1.0
966,2023-03-26,1.0
967,2023-03-28,1.0
968,2023-03-31,1.0
969,2023-04-02,0.999
970,2023-04-05,0.002
971,2023-04-07,1.0
972,2023-04-10,1.0
973,2023-04-12,1.0
974,2023-04-15,0.992
975,2023-04-17,1.0
976,2023-04-20,0.999
977,2023-04-22,1.0
978,2023-04-25,1.0
979,2023-04-27,0.933
980,2023-04-30,0.002
981,2023-05-02,0.921
982,2023-05-05,1.0
983,2023-05-07,1.0
984,2023-05-10,1.0
985,2023-05-12,1.0
986,2023-05-15,1.0
987,2023-05-17,0.067
988,2023-05-20,0.508
989,2023-05-22,0.891
990,2023-05-25,1.0
991,2023-05-27,0.0
992,2023-05-30,0.0
993,2023-06-01,0.004
994,2023-06-04,0.0
995,2023-06-06,0.0
996,2023-06-09,0.0
997,2023-06-11,0.057
998,2023-06-14,0.0
999,2023-06-16,0.001
1000,2023-06-19,0.952
1001,2023-06-21,0.727
1002,2023-06-24,0.0
1003,2023-06-26,1.0
1004,2023-06-29,1.0
1005,2023-07-01,1.0
1006,2023-07-04,1.0
1007,2023-07-06,1.0
1008,2023-07-09,1.0
1009,2023-07-11,0.974
1010,2023-07-14,1.0
1011,2023-07-16,1.0
1012,2023-07-19,1.0
1013,2023-07-21,1.0
1014,2023-07-24,1.0
1015,2023-07-26,1.0
1016,2023-07-29,1.0
1017,2023-07-31,1.0
1018,2023-08-03,1.0
1019,2023-08-05,1.0
1020,2023-08-08,1.0
1021,2023-08-13,1.0
1022,2023-08-15,1.0
1023,2023-08-18,0.922
1024,2023-08-20,0.001
1025,2023-08-23,0.004
1026,2023-08-25,1.0
1027,2023-08-28,1.0
1028,2023-08-30,1.0
1029,2023-09-02,1.0
1030,2023-09-04,0.109
1031,2023-09-07,0.0
1032,2023-09-09,0.0
1033,2023-09-12,1.0
1034,2023-09-14,0.87
1035,2023-09-17,1.0
1036,2023-09-19,1.0
1037,2023-09-22,0.634
1038,2023-09-24,0.009
1039,2023-09-27,1.0
1040,2023-09-29,1.0
1041,2023-10-02,1.0
1042,2023-10-04,1.0
1043,2023-10-07,0.999
1044,2023-10-09,1.0
1045,2023-10-12,1.0
1046,2023-10-14,0.873
1047,2023-10-17,0.012
1048,2023-10-19,1.0
1049,2023-10-22,1.0
1050,2023-10-24,1.0
1051,2023-10-27,1.0
1052,2023-10-29,1.0
1053,2023-11-01,1.0
1054,2023-11-03,1.0
1055,2023-11-06,1.0
1056,2023-11-08,1.0
1057,2023-11-11,0.999
1058,2023-11-13,1.0
1059,2023-11-16,1.0
1060,2023-11-18,1.0
1061,2023-11-21,1.0
1062,2023-11-26,1.0
1063,2023-11-28,0.151
1064,2023-12-01,0.996
1065,2023-12-03,1.0
1066,2023-12-06,1.0
1067,2023-12-08,1.0
1068,2023-12-11,1.0
